location,label,set
utils\data\scanned\test\scientific report\scientific report_11.png,scientific report,test
utils\data\scanned\test\scientific report\scientific report_12.png,scientific report,test
utils\data\scanned\test\scientific report\scientific report_13.png,scientific report,test
utils\data\scanned\test\scientific report\scientific report_14.png,scientific report,test
utils\data\scanned\test\scientific report\scientific report_15.png,scientific report,test
utils\data\scanned\test\scientific report\scientific report_16.png,scientific report,test
utils\data\scanned\test\scientific report\scientific report_17.png,scientific report,test
utils\data\scanned\test\scientific report\scientific report_18.png,scientific report,test
utils\data\scanned\test\scientific report\scientific report_19.png,scientific report,test
utils\data\scanned\test\scientific report\scientific report_20.png,scientific report,test
utils\data\scanned\test\scientific report\scientific report_21.png,scientific report,test
utils\data\scanned\test\scientific report\scientific report_22.png,scientific report,test
utils\data\scanned\test\scientific report\scientific report_23.png,scientific report,test
utils\data\scanned\test\scientific report\scientific report_24.png,scientific report,test
utils\data\scanned\test\scientific report\scientific report_25.png,scientific report,test
utils\data\scanned\test\scientific report\scientific report_26.png,scientific report,test
utils\data\scanned\test\scientific report\scientific report_27.png,scientific report,test
utils\data\scanned\test\scientific report\scientific report_28.png,scientific report,test
utils\data\scanned\test\scientific report\scientific report_29.png,scientific report,test
utils\data\scanned\train\form\form_0.png,form,train
utils\data\scanned\train\form\form_1.png,form,train
utils\data\scanned\train\form\form_2.png,form,train
utils\data\scanned\train\form\form_3.png,form,train
utils\data\scanned\train\form\form_4.png,form,train
utils\data\scanned\train\form\form_5.png,form,train
utils\data\scanned\train\form\form_6.png,form,train
utils\data\scanned\train\form\form_7.png,form,train
utils\data\scanned\train\form\form_8.png,form,train
utils\data\scanned\train\form\form_9.png,form,train
utils\data\scanned\train\form\form_10.png,form,train
utils\data\scanned\train\form\form_11.png,form,train
utils\data\scanned\train\form\form_12.png,form,train
utils\data\scanned\train\form\form_13.png,form,train
utils\data\scanned\train\form\form_14.png,form,train
utils\data\scanned\train\form\form_15.png,form,train
utils\data\scanned\train\form\form_16.png,form,train
utils\data\scanned\train\form\form_17.png,form,train
utils\data\scanned\train\form\form_18.png,form,train
utils\data\scanned\train\form\form_19.png,form,train
utils\data\scanned\train\form\form_20.png,form,train
utils\data\scanned\train\form\form_21.png,form,train
utils\data\scanned\train\form\form_22.png,form,train
utils\data\scanned\train\form\form_23.png,form,train
utils\data\scanned\train\form\form_24.png,form,train
utils\data\scanned\train\form\form_25.png,form,train
utils\data\scanned\train\form\form_26.png,form,train
utils\data\scanned\train\form\form_27.png,form,train
utils\data\scanned\train\form\form_28.png,form,train
utils\data\scanned\train\form\form_29.png,form,train
utils\data\scanned\train\form\form_30.png,form,train
utils\data\scanned\train\form\form_31.png,form,train
utils\data\scanned\train\form\form_32.png,form,train
utils\data\scanned\train\form\form_33.png,form,train
utils\data\scanned\train\form\form_34.png,form,train
utils\data\scanned\train\form\form_35.png,form,train
utils\data\scanned\train\form\form_36.png,form,train
utils\data\scanned\train\form\form_37.png,form,train
utils\data\scanned\train\form\form_38.png,form,train
utils\data\scanned\train\form\form_39.png,form,train
utils\data\scanned\train\form\form_40.png,form,train
utils\data\scanned\train\form\form_41.png,form,train
utils\data\scanned\train\form\form_42.png,form,train
utils\data\scanned\train\form\form_43.png,form,train
utils\data\scanned\train\form\form_44.png,form,train
utils\data\scanned\train\form\form_45.png,form,train
utils\data\scanned\train\form\form_46.png,form,train
utils\data\scanned\train\form\form_47.png,form,train
utils\data\scanned\train\form\form_48.png,form,train
utils\data\scanned\train\form\form_49.png,form,train
utils\data\scanned\train\form\form_50.png,form,train
utils\data\scanned\train\form\form_51.png,form,train
utils\data\scanned\train\form\form_52.png,form,train
utils\data\scanned\train\form\form_53.png,form,train
utils\data\scanned\train\form\form_54.png,form,train
utils\data\scanned\train\form\form_55.png,form,train
utils\data\scanned\train\form\form_56.png,form,train
utils\data\scanned\train\form\form_57.png,form,train
utils\data\scanned\train\form\form_58.png,form,train
utils\data\scanned\train\form\form_59.png,form,train
utils\data\scanned\train\form\form_60.png,form,train
utils\data\scanned\train\form\form_61.png,form,train
utils\data\scanned\train\form\form_62.png,form,train
utils\data\scanned\train\form\form_63.png,form,train
utils\data\scanned\train\form\form_64.png,form,train
utils\data\scanned\train\form\form_65.png,form,train
utils\data\scanned\train\form\form_66.png,form,train
utils\data\scanned\train\form\form_67.png,form,train
utils\data\scanned\train\form\form_68.png,form,train
utils\data\scanned\train\form\form_69.png,form,train
utils\data\scanned\test\form\form_0.png,form,test
utils\data\scanned\test\form\form_1.png,form,test
utils\data\scanned\test\form\form_2.png,form,test
utils\data\scanned\test\form\form_3.png,form,test
utils\data\scanned\test\form\form_4.png,form,test
utils\data\scanned\test\form\form_5.png,form,test
utils\data\scanned\test\form\form_6.png,form,test
utils\data\scanned\test\form\form_7.png,form,test
utils\data\scanned\test\form\form_8.png,form,test
utils\data\scanned\test\form\form_9.png,form,test
utils\data\scanned\test\form\form_10.png,form,test
utils\data\scanned\test\form\form_11.png,form,test
utils\data\scanned\test\form\form_12.png,form,test
utils\data\scanned\test\form\form_13.png,form,test
utils\data\scanned\test\form\form_14.png,form,test
utils\data\scanned\test\form\form_15.png,form,test
utils\data\scanned\test\form\form_16.png,form,test
utils\data\scanned\test\form\form_17.png,form,test
utils\data\scanned\test\form\form_18.png,form,test
utils\data\scanned\test\form\form_19.png,form,test
utils\data\scanned\test\form\form_20.png,form,test
utils\data\scanned\test\form\form_21.png,form,test
utils\data\scanned\test\form\form_22.png,form,test
utils\data\scanned\test\form\form_23.png,form,test
utils\data\scanned\test\form\form_24.png,form,test
utils\data\scanned\test\form\form_25.png,form,test
utils\data\scanned\test\form\form_26.png,form,test
utils\data\scanned\test\form\form_27.png,form,test
utils\data\scanned\test\form\form_28.png,form,test
utils\data\scanned\test\form\form_29.png,form,test
utils\data\scanned\train\resume\resume_0.png,resume,train
utils\data\scanned\train\resume\resume_1.png,resume,train
utils\data\scanned\train\resume\resume_2.png,resume,train
utils\data\scanned\train\resume\resume_3.png,resume,train
utils\data\scanned\train\resume\resume_4.png,resume,train
utils\data\scanned\train\resume\resume_5.png,resume,train
utils\data\scanned\train\resume\resume_6.png,resume,train
utils\data\scanned\train\resume\resume_7.png,resume,train
utils\data\scanned\train\resume\resume_8.png,resume,train
utils\data\scanned\train\resume\resume_9.png,resume,train
utils\data\scanned\train\resume\resume_10.png,resume,train
utils\data\scanned\train\resume\resume_11.png,resume,train
utils\data\scanned\train\resume\resume_12.png,resume,train
utils\data\scanned\train\resume\resume_13.png,resume,train
utils\data\scanned\train\resume\resume_14.png,resume,train
utils\data\scanned\train\resume\resume_15.png,resume,train
utils\data\scanned\train\resume\resume_16.png,resume,train
utils\data\scanned\train\resume\resume_17.png,resume,train
utils\data\scanned\train\resume\resume_18.png,resume,train
utils\data\scanned\train\resume\resume_19.png,resume,train
utils\data\scanned\train\resume\resume_20.png,resume,train
utils\data\scanned\train\resume\resume_21.png,resume,train
utils\data\scanned\train\resume\resume_22.png,resume,train
utils\data\scanned\train\resume\resume_23.png,resume,train
utils\data\scanned\train\resume\resume_24.png,resume,train
utils\data\scanned\train\resume\resume_25.png,resume,train
utils\data\scanned\train\resume\resume_26.png,resume,train
utils\data\scanned\train\resume\resume_27.png,resume,train
utils\data\scanned\train\resume\resume_28.png,resume,train
utils\data\scanned\train\resume\resume_29.png,resume,train
utils\data\scanned\train\resume\resume_30.png,resume,train
utils\data\scanned\train\resume\resume_31.png,resume,train
utils\data\scanned\train\resume\resume_32.png,resume,train
utils\data\scanned\train\resume\resume_33.png,resume,train
utils\data\scanned\train\resume\resume_34.png,resume,train
utils\data\scanned\train\resume\resume_35.png,resume,train
utils\data\scanned\train\resume\resume_36.png,resume,train
utils\data\scanned\train\resume\resume_37.png,resume,train
utils\data\scanned\train\resume\resume_38.png,resume,train
utils\data\scanned\train\resume\resume_39.png,resume,train
utils\data\scanned\train\resume\resume_40.png,resume,train
utils\data\scanned\train\resume\resume_41.png,resume,train
utils\data\scanned\train\resume\resume_42.png,resume,train
utils\data\scanned\train\resume\resume_43.png,resume,train
utils\data\scanned\train\resume\resume_44.png,resume,train
utils\data\scanned\train\resume\resume_45.png,resume,train
utils\data\scanned\train\resume\resume_46.png,resume,train
utils\data\scanned\train\resume\resume_47.png,resume,train
utils\data\scanned\train\resume\resume_48.png,resume,train
utils\data\scanned\train\resume\resume_49.png,resume,train
utils\data\scanned\train\resume\resume_50.png,resume,train
utils\data\scanned\train\resume\resume_51.png,resume,train
utils\data\scanned\train\resume\resume_52.png,resume,train
utils\data\scanned\train\resume\resume_53.png,resume,train
utils\data\scanned\train\resume\resume_54.png,resume,train
utils\data\scanned\train\resume\resume_55.png,resume,train
utils\data\scanned\train\resume\resume_56.png,resume,train
utils\data\scanned\train\resume\resume_57.png,resume,train
utils\data\scanned\train\resume\resume_58.png,resume,train
utils\data\scanned\train\resume\resume_59.png,resume,train
utils\data\scanned\train\resume\resume_60.png,resume,train
utils\data\scanned\train\resume\resume_61.png,resume,train
utils\data\scanned\train\resume\resume_62.png,resume,train
utils\data\scanned\train\resume\resume_63.png,resume,train
utils\data\scanned\train\resume\resume_64.png,resume,train
utils\data\scanned\train\resume\resume_65.png,resume,train
utils\data\scanned\train\resume\resume_66.png,resume,train
utils\data\scanned\train\resume\resume_67.png,resume,train
utils\data\scanned\train\resume\resume_68.png,resume,train
utils\data\scanned\train\resume\resume_69.png,resume,train
utils\data\scanned\test\resume\resume_0.png,resume,test
utils\data\scanned\test\resume\resume_1.png,resume,test
utils\data\scanned\test\resume\resume_2.png,resume,test
utils\data\scanned\test\resume\resume_3.png,resume,test
utils\data\scanned\test\resume\resume_4.png,resume,test
utils\data\scanned\test\resume\resume_5.png,resume,test
utils\data\scanned\test\resume\resume_6.png,resume,test
utils\data\scanned\test\resume\resume_7.png,resume,test
utils\data\scanned\test\resume\resume_8.png,resume,test
utils\data\scanned\test\resume\resume_9.png,resume,test
utils\data\scanned\test\resume\resume_10.png,resume,test
utils\data\scanned\test\resume\resume_11.png,resume,test
utils\data\scanned\test\resume\resume_12.png,resume,test
utils\data\scanned\test\resume\resume_13.png,resume,test
utils\data\scanned\test\resume\resume_14.png,resume,test
utils\data\scanned\test\resume\resume_15.png,resume,test
utils\data\scanned\test\resume\resume_16.png,resume,test
utils\data\scanned\test\resume\resume_17.png,resume,test
utils\data\scanned\test\resume\resume_18.png,resume,test
utils\data\scanned\test\resume\resume_19.png,resume,test
utils\data\scanned\test\resume\resume_20.png,resume,test
utils\data\scanned\test\resume\resume_21.png,resume,test
utils\data\scanned\test\resume\resume_22.png,resume,test
utils\data\scanned\test\resume\resume_23.png,resume,test
utils\data\scanned\test\resume\resume_24.png,resume,test
utils\data\scanned\test\resume\resume_25.png,resume,test
utils\data\scanned\test\resume\resume_26.png,resume,test
utils\data\scanned\test\resume\resume_27.png,resume,test
utils\data\scanned\test\resume\resume_28.png,resume,test
utils\data\scanned\test\resume\resume_29.png,resume,test
utils\data\scanned\train\invoice\invoice_0.png,invoice,train
utils\data\scanned\train\invoice\invoice_1.png,invoice,train
utils\data\scanned\train\invoice\invoice_2.png,invoice,train
utils\data\scanned\train\invoice\invoice_3.png,invoice,train
utils\data\scanned\train\invoice\invoice_4.png,invoice,train
utils\data\scanned\train\invoice\invoice_5.png,invoice,train
utils\data\scanned\train\invoice\invoice_6.png,invoice,train
utils\data\scanned\train\invoice\invoice_7.png,invoice,train
utils\data\scanned\train\invoice\invoice_8.png,invoice,train
utils\data\scanned\train\invoice\invoice_9.png,invoice,train
utils\data\scanned\train\invoice\invoice_10.png,invoice,train
utils\data\scanned\train\invoice\invoice_11.png,invoice,train
utils\data\scanned\train\invoice\invoice_12.png,invoice,train
utils\data\scanned\train\invoice\invoice_13.png,invoice,train
utils\data\scanned\train\invoice\invoice_14.png,invoice,train
utils\data\scanned\train\invoice\invoice_15.png,invoice,train
utils\data\scanned\train\invoice\invoice_16.png,invoice,train
utils\data\scanned\train\invoice\invoice_17.png,invoice,train
utils\data\scanned\train\invoice\invoice_18.png,invoice,train
utils\data\scanned\train\invoice\invoice_19.png,invoice,train
utils\data\scanned\train\invoice\invoice_20.png,invoice,train
utils\data\scanned\train\invoice\invoice_21.png,invoice,train
utils\data\scanned\train\invoice\invoice_22.png,invoice,train
utils\data\scanned\train\invoice\invoice_23.png,invoice,train
utils\data\scanned\train\invoice\invoice_24.png,invoice,train
utils\data\scanned\train\invoice\invoice_25.png,invoice,train
utils\data\scanned\train\invoice\invoice_26.png,invoice,train
utils\data\scanned\train\invoice\invoice_27.png,invoice,train
utils\data\scanned\train\invoice\invoice_28.png,invoice,train
utils\data\scanned\train\invoice\invoice_29.png,invoice,train
utils\data\scanned\train\invoice\invoice_30.png,invoice,train
utils\data\scanned\train\invoice\invoice_31.png,invoice,train
utils\data\scanned\train\invoice\invoice_32.png,invoice,train
utils\data\scanned\train\invoice\invoice_33.png,invoice,train
utils\data\scanned\train\invoice\invoice_34.png,invoice,train
utils\data\scanned\train\invoice\invoice_35.png,invoice,train
utils\data\scanned\train\invoice\invoice_36.png,invoice,train
utils\data\scanned\train\invoice\invoice_37.png,invoice,train
utils\data\scanned\train\invoice\invoice_38.png,invoice,train
utils\data\scanned\train\invoice\invoice_39.png,invoice,train
utils\data\scanned\train\invoice\invoice_40.png,invoice,train
utils\data\scanned\train\invoice\invoice_41.png,invoice,train
utils\data\scanned\train\invoice\invoice_42.png,invoice,train
utils\data\scanned\train\invoice\invoice_43.png,invoice,train
utils\data\scanned\train\invoice\invoice_44.png,invoice,train
utils\data\scanned\train\invoice\invoice_45.png,invoice,train
utils\data\scanned\train\invoice\invoice_46.png,invoice,train
utils\data\scanned\train\invoice\invoice_47.png,invoice,train
utils\data\scanned\train\invoice\invoice_48.png,invoice,train
utils\data\scanned\train\invoice\invoice_49.png,invoice,train
utils\data\scanned\train\invoice\invoice_50.png,invoice,train
utils\data\scanned\train\invoice\invoice_51.png,invoice,train
utils\data\scanned\train\invoice\invoice_52.png,invoice,train
utils\data\scanned\train\invoice\invoice_53.png,invoice,train
utils\data\scanned\train\invoice\invoice_54.png,invoice,train
utils\data\scanned\train\invoice\invoice_55.png,invoice,train
utils\data\scanned\train\invoice\invoice_56.png,invoice,train
utils\data\scanned\train\invoice\invoice_57.png,invoice,train
utils\data\scanned\train\invoice\invoice_58.png,invoice,train
utils\data\scanned\train\invoice\invoice_59.png,invoice,train
utils\data\scanned\train\invoice\invoice_60.png,invoice,train
utils\data\scanned\train\invoice\invoice_61.png,invoice,train
utils\data\scanned\train\invoice\invoice_62.png,invoice,train
utils\data\scanned\train\invoice\invoice_63.png,invoice,train
utils\data\scanned\train\invoice\invoice_64.png,invoice,train
utils\data\scanned\train\invoice\invoice_65.png,invoice,train
utils\data\scanned\train\invoice\invoice_66.png,invoice,train
utils\data\scanned\train\invoice\invoice_67.png,invoice,train
utils\data\scanned\train\invoice\invoice_68.png,invoice,train
utils\data\scanned\train\invoice\invoice_69.png,invoice,train
utils\data\scanned\test\invoice\invoice_0.png,invoice,test
utils\data\scanned\test\invoice\invoice_1.png,invoice,test
utils\data\scanned\test\invoice\invoice_2.png,invoice,test
utils\data\scanned\test\invoice\invoice_3.png,invoice,test
utils\data\scanned\test\invoice\invoice_4.png,invoice,test
utils\data\scanned\test\invoice\invoice_5.png,invoice,test
utils\data\scanned\test\invoice\invoice_6.png,invoice,test
utils\data\scanned\test\invoice\invoice_7.png,invoice,test
utils\data\scanned\test\invoice\invoice_8.png,invoice,test
utils\data\scanned\test\invoice\invoice_9.png,invoice,test
utils\data\scanned\test\invoice\invoice_10.png,invoice,test
utils\data\scanned\test\invoice\invoice_11.png,invoice,test
utils\data\scanned\test\invoice\invoice_12.png,invoice,test
utils\data\scanned\test\invoice\invoice_13.png,invoice,test
utils\data\scanned\test\invoice\invoice_14.png,invoice,test
utils\data\scanned\test\invoice\invoice_15.png,invoice,test
utils\data\scanned\test\invoice\invoice_16.png,invoice,test
utils\data\scanned\test\invoice\invoice_17.png,invoice,test
utils\data\scanned\test\invoice\invoice_18.png,invoice,test
utils\data\scanned\test\invoice\invoice_19.png,invoice,test
utils\data\scanned\test\invoice\invoice_20.png,invoice,test
utils\data\scanned\test\invoice\invoice_21.png,invoice,test
utils\data\scanned\test\invoice\invoice_22.png,invoice,test
utils\data\scanned\test\invoice\invoice_23.png,invoice,test
utils\data\scanned\test\invoice\invoice_24.png,invoice,test
utils\data\scanned\test\invoice\invoice_25.png,invoice,test
utils\data\scanned\test\invoice\invoice_26.png,invoice,test
utils\data\scanned\test\invoice\invoice_27.png,invoice,test
utils\data\scanned\test\invoice\invoice_28.png,invoice,test
utils\data\scanned\test\invoice\invoice_29.png,invoice,test
utils\data\scanned\train\file folder\file folder_0.png,file folder,train
utils\data\scanned\train\file folder\file folder_1.png,file folder,train
utils\data\scanned\train\file folder\file folder_2.png,file folder,train
utils\data\scanned\train\file folder\file folder_3.png,file folder,train
utils\data\scanned\train\file folder\file folder_4.png,file folder,train
utils\data\scanned\train\file folder\file folder_5.png,file folder,train
utils\data\scanned\train\file folder\file folder_6.png,file folder,train
utils\data\scanned\train\file folder\file folder_7.png,file folder,train
utils\data\scanned\train\file folder\file folder_8.png,file folder,train
utils\data\scanned\train\file folder\file folder_9.png,file folder,train
utils\data\scanned\train\file folder\file folder_10.png,file folder,train
utils\data\scanned\train\file folder\file folder_11.png,file folder,train
utils\data\scanned\train\file folder\file folder_12.png,file folder,train
utils\data\scanned\train\file folder\file folder_13.png,file folder,train
utils\data\scanned\train\file folder\file folder_14.png,file folder,train
utils\data\scanned\train\file folder\file folder_15.png,file folder,train
utils\data\scanned\train\file folder\file folder_16.png,file folder,train
utils\data\scanned\train\file folder\file folder_17.png,file folder,train
utils\data\scanned\train\file folder\file folder_18.png,file folder,train
utils\data\scanned\train\file folder\file folder_19.png,file folder,train
utils\data\scanned\train\file folder\file folder_20.png,file folder,train
utils\data\scanned\train\file folder\file folder_21.png,file folder,train
utils\data\scanned\train\file folder\file folder_22.png,file folder,train
utils\data\scanned\train\file folder\file folder_23.png,file folder,train
utils\data\scanned\train\file folder\file folder_24.png,file folder,train
utils\data\scanned\train\file folder\file folder_25.png,file folder,train
utils\data\scanned\train\file folder\file folder_26.png,file folder,train
utils\data\scanned\train\file folder\file folder_27.png,file folder,train
utils\data\scanned\train\file folder\file folder_28.png,file folder,train
utils\data\scanned\train\file folder\file folder_29.png,file folder,train
utils\data\scanned\train\file folder\file folder_30.png,file folder,train
utils\data\scanned\train\file folder\file folder_31.png,file folder,train
utils\data\scanned\train\file folder\file folder_32.png,file folder,train
utils\data\scanned\train\file folder\file folder_33.png,file folder,train
utils\data\scanned\train\file folder\file folder_34.png,file folder,train
utils\data\scanned\train\file folder\file folder_35.png,file folder,train
utils\data\scanned\train\file folder\file folder_36.png,file folder,train
utils\data\scanned\train\file folder\file folder_37.png,file folder,train
utils\data\scanned\train\file folder\file folder_38.png,file folder,train
utils\data\scanned\train\file folder\file folder_39.png,file folder,train
utils\data\scanned\train\file folder\file folder_40.png,file folder,train
utils\data\scanned\train\file folder\file folder_41.png,file folder,train
utils\data\scanned\train\file folder\file folder_42.png,file folder,train
utils\data\scanned\train\file folder\file folder_43.png,file folder,train
utils\data\scanned\train\file folder\file folder_44.png,file folder,train
utils\data\scanned\train\file folder\file folder_45.png,file folder,train
utils\data\scanned\train\file folder\file folder_46.png,file folder,train
utils\data\scanned\train\file folder\file folder_47.png,file folder,train
utils\data\scanned\train\file folder\file folder_48.png,file folder,train
utils\data\scanned\train\file folder\file folder_49.png,file folder,train
utils\data\scanned\train\file folder\file folder_50.png,file folder,train
utils\data\scanned\train\file folder\file folder_51.png,file folder,train
utils\data\scanned\train\file folder\file folder_52.png,file folder,train
utils\data\scanned\train\file folder\file folder_53.png,file folder,train
utils\data\scanned\train\file folder\file folder_54.png,file folder,train
utils\data\scanned\train\file folder\file folder_55.png,file folder,train
utils\data\scanned\train\file folder\file folder_56.png,file folder,train
utils\data\scanned\train\file folder\file folder_57.png,file folder,train
utils\data\scanned\train\file folder\file folder_58.png,file folder,train
utils\data\scanned\train\file folder\file folder_59.png,file folder,train
utils\data\scanned\train\file folder\file folder_60.png,file folder,train
utils\data\scanned\train\file folder\file folder_61.png,file folder,train
utils\data\scanned\train\file folder\file folder_62.png,file folder,train
utils\data\scanned\train\file folder\file folder_63.png,file folder,train
utils\data\scanned\train\file folder\file folder_64.png,file folder,train
utils\data\scanned\train\file folder\file folder_65.png,file folder,train
utils\data\scanned\train\file folder\file folder_66.png,file folder,train
utils\data\scanned\train\file folder\file folder_67.png,file folder,train
utils\data\scanned\train\file folder\file folder_68.png,file folder,train
utils\data\scanned\train\file folder\file folder_69.png,file folder,train
utils\data\scanned\test\file folder\file folder_0.png,file folder,test
utils\data\scanned\test\file folder\file folder_1.png,file folder,test
utils\data\scanned\test\file folder\file folder_2.png,file folder,test
utils\data\scanned\test\file folder\file folder_3.png,file folder,test
utils\data\scanned\test\file folder\file folder_4.png,file folder,test
utils\data\scanned\test\file folder\file folder_5.png,file folder,test
utils\data\scanned\test\file folder\file folder_6.png,file folder,test
utils\data\scanned\test\file folder\file folder_7.png,file folder,test
utils\data\scanned\test\file folder\file folder_8.png,file folder,test
utils\data\scanned\test\file folder\file folder_9.png,file folder,test
utils\data\scanned\test\file folder\file folder_10.png,file folder,test
utils\data\scanned\test\file folder\file folder_11.png,file folder,test
utils\data\scanned\test\file folder\file folder_12.png,file folder,test
utils\data\scanned\test\file folder\file folder_13.png,file folder,test
utils\data\scanned\test\file folder\file folder_14.png,file folder,test
utils\data\scanned\test\file folder\file folder_15.png,file folder,test
utils\data\scanned\test\file folder\file folder_16.png,file folder,test
utils\data\scanned\test\file folder\file folder_17.png,file folder,test
utils\data\scanned\test\file folder\file folder_18.png,file folder,test
utils\data\scanned\test\file folder\file folder_19.png,file folder,test
utils\data\scanned\test\file folder\file folder_20.png,file folder,test
utils\data\scanned\test\file folder\file folder_21.png,file folder,test
utils\data\scanned\test\file folder\file folder_22.png,file folder,test
utils\data\scanned\test\file folder\file folder_23.png,file folder,test
utils\data\scanned\test\file folder\file folder_24.png,file folder,test
utils\data\scanned\test\file folder\file folder_25.png,file folder,test
utils\data\scanned\test\file folder\file folder_26.png,file folder,test
utils\data\scanned\test\file folder\file folder_27.png,file folder,test
utils\data\scanned\test\file folder\file folder_28.png,file folder,test
utils\data\scanned\test\file folder\file folder_29.png,file folder,test
utils\data\scanned\train\questionnaire\questionnaire_0.png,questionnaire,train
utils\data\scanned\train\questionnaire\questionnaire_1.png,questionnaire,train
